;Level;Stance;Claim;Votes
22;1.0;pro;The introduction of paternity leave in some countries has seen a rise in the number of men taking time off work to raise their children (p. 16).;['0', '0', '1', '0', '1']
23;1.0;pro;There are increasing numbers of fathers who wish to be stay at home parents.;['1', '0', '2', '0', '1']
24;1.0;pro;In certain religious households where abstinence is an important virtue, women who get pregnant out of wedlock are shunned. This leaves pregnant women with very little financial and emotional support, while forcing them to be the sole provider for the child.;['1', '1', '2', '1', '2']
25;1.0;con;Fathers are held financially responsible for their children. It is not only mothers who are forced to take care of the unwanted children.;['1', '0', '3', '0', '2']
26;1.0;pro;Fathers have to help fund and support the child until they are no longer a dependent, usually 18 years, which would add to the emotional burden on the father and the father's family.;['0', '0', '1', '1', '0']
27;1.0;con;Only 50% of single parents have a child support agreement in place with the other parent of their child in the US, which shows that it is difficult to enforce financial responsibility.;['0', '0', '1', '1', '0']
28;1.0;pro;Society is better off if women only have the children they want and can raise well.;['2', '2', '1', '5', '4']
29;1.0;pro;"Denying women the right to terminate pregnancies at an early stage implies that giving birth to children is the most important thing a woman will ever do; that her ability to give birth trumps any other contribution to society she could possibly make.";['1', '0', '2', '0', '1']
30;1.0;pro;Denying women access to safe, legal abortion in the interests of the embryo values the woman’s actual life less than the potential life of the embryo.;['1', '0', '1', '0', '4']
31;1.0;con;Many women who have made great contributions to society have done so as mothers.;['2', '1', '3', '0', '1']
32;1.0;con;Denial of the right to terminate a pregnancy says nothing about the relative importance of giving birth.;['0', '1', '2', '0', '2']
33;1.0;pro;There is evidence to suggest that the Roe v. Wade decision to legalize abortion in 1978 was responsible for the dramatic decrease in violent crime the United States experienced through at least 1999 (p. 414).;['1', '1', '0', '1', '1']
34;1.0;pro;There is evidence from Canada, Australia, and Romania that also supports the hypothesis that abortion reduces crime.;['1', '0', '1', '1', '3']
35;1.0;pro;Five US states legalised abortion three years before Roe v. Wade. Crime started falling three years earlier in these states, with property crime (committed by younger people) falling before violent crime.;['1', '2', '1', '1', '2']
36;1.0;con;The ends do not justify the means. Using an immoral act (abortion) to justify a good (improved crime rates) is unethical.;['1', '1', '0', '1', '0']
37;1.0;pro;Abortion can help prevent the numerous financial issues that come from having an unplanned pregnancy.;['1', '1', '1', '0', '1']
38;1.0;pro;Many women who become pregnant are still in high school and are forced to drop out.;['1', '0', '2', '1', '0']
39;1.0;pro;Even if women are out of high school, unwanted pregnancy can force them to leave their jobs, furthering inequality in the workforce.;['1', '0', '1', '1', '1']
40;1.0;pro;Women often have to sacrifice their careers for childbearing and child-rearing which is not the case with men.;['0', '0', '2', '0', '0']
41;1.0;pro;Studies suggest that among men with equivalent resumes, fathers are more likely to receive call-backs and higher wage offers than are childless men.;['0', '0', '1', '1', '2']
42;1.0;pro;Pregnancy and motherhood have a substantial impact on a woman’s career.;['1', '0', '0', '2', '3']
43;1.0;pro;Motherhood has a greater impact on a woman’s career prospects than her level of education, according to a study by the Young Women’s Trust. Women with a dependent child are six times more likely to be economically inactive than those without children (p. 4).;['1', '0', '1', '1', '2']
44;1.0;con;This is mainly due to patriarchal oppression, not the demands of motherhood. It is possible to employ and educate mothers while giving them ample maternity leave, equal pay, and quality healthcare.;['1', '1', '2', '0', '1']
45;1.0;pro;A study at Cornell University shows that being a mother is proven to be a clear disadvantage when applying for jobs.;['1', '0', '2', '0', '0']
46;1.0;pro;When a similar experiment was reproduced in laboratory settings, mothers were offered salaries of around $11,000 less than women without children. Fathers were offered salaries of around $2,000 more. (p. 1316);['1', '0', '2', '1', '0']
47;1.0;pro;"Once women return to work after giving birth, many women face a ""motherhood wage penalty,” especially at the bottom of the income spectrum. This means that working mothers encounter systematic disadvantages in pay, perceived competence, and benefits relative to childless women.";['0', '0', '0', '0', '2']
48;1.0;pro;"The work-effort theory suggests mothers may earn less because they are less productive at work due to the needs of their children leaving them exhausted and distracted, or because they are saving their energy for their ""second shift"".";['1', '0', '2', '0', '1']
49;1.0;pro;Mothers may trade higher wages for “mother-friendly” jobs that are easier to combine with parenting (p. 204).;['0', '0', '2', '0', '1']
50;1.0;con;In most Western countries, there are legal measures that allow women to retain their employment status and forbid discrimination based on having children.;['2', '0', '1', '2', '2']
51;1.0;con;Taking maternity leave inherently stalls one's career, even if there is not explicit discrimination.;['0', '0', '1', '0', '0']
52;1.0;con;A woman who gets pregnant, gives birth, and finds someone to adopt the child does not end up with a dependent child. However, having to raise a dependent child is what caused negative career outcomes for the women, not pregnancy by itself.;['0', '0', '1', '0', '0']
53;1.0;con;It is false to suggest that future educational and career goals must be abandoned when one becomes pregnant. With the choice of adoption and the many support programs which exist today, young women or teens can postpone their educational plans but still achieve them.;['0', '1', '2', '0', '1']
54;1.0;con;This is a problem with culture and employment, not childbearing.;['3', '1', '1', '0', '1']
55;1.0;con;Preference for equality in the workforce is not a satisfactory reason for abortion.  Many childless women are treated unequally in the workforce as it is.  We can strive for equality whilst also supporting childbearing.;['1', '1', '2', '1', '1']
56;1.0;con;One of the reasons for unequal treatment of women in the workforce is the assumption that they will get pregnant and leave their job any time. If women are denied the option to terminate unwanted pregnancies, this further fuels such assumptions and encourages discrimination in the workplace.;['1', '1', '1', '0', '1']
57;1.0;pro;The option to have an abortion gives women more autonomy over their careers, as it allows them to plan ahead and discuss maternity leave with their employers before actually needing it.;['1', '0', '2', '0', '1']
58;1.0;con;Giving women the right to have an abortion if they want to does not oppose or contradict support for childbearing. Allowing women a choice does not make anything compulsory.;['1', '1', '1', '0', '1']
59;1.0;pro;When women cannot afford to raise their children they are forced to go on welfare, which is a cost to everyone.;['1', '0', '1', '1', '1']
60;1.0;pro;Women who are denied abortions and instead give birth are 3.77 times more likely to be in poverty and 6.26 times more likely to be on public assistance 6 months after denial than women who received abortions. They are also more likely to be in poverty and remain on public assistance for 4 years after denial of abortion (pp. 411-412).;['1', '0', '2', '0', '1']
61;1.0;con;Society is best when we look out for others. Supporting people who need it through welfare is not necessarily a bad thing.;['1', '1', '1', '0', '2']
62;1.0;con;A case could be made that it would be better to have our tax dollars contributed to welfare, than have that same money be contributed to abortion.;['1', '2', '0', '0', '1']
63;1.0;con;Governments should provide support to families to ensure that abortion is not the only option and that these financial issues are not significant.;['0', '0', '1', '0', '0']
64;1.0;con;Individuals contribute to society in numerous different ways, and even children that are not wanted or raised well may make valuable contributions that mean society is better off.;['0', '0', '1', '0', '1']
65;1.0;con;Even if society is better in some ways if women only have the children they want, this is not enough to justify killing the children. Otherwise, women would be permitted kill toddlers they are currently raising but don't want.;['0', '0', '0', '0', '0']
66;1.0;con;It is possible to provide more education and access to resources and contraception to reduce the number of unwanted pregnancies without relying on abortion.;['0', '0', '1', '0', '0']
67;1.0;con;Better access to contraception and improved sexual education would reduce the risk of unplanned pregnancies.;['1', '1', '2', '3', '2']
68;1.0;pro;Abortion is a band-aid solution to systemic issues in society. While it may need to remain legal, it does nothing to address the reasons behind unwanted pregnancy.;['0', '1', '1', '0', '2']
69;1.0;con;The issue is that these resources are not properly allocated or presented to the populace. Women should not be made to suffer because of a failure of government.;['0', '1', '0', '1', '2']
70;1.0;pro;In many countries without strong state support for family planning services, doctors might be more inclined towards the lucrative work of performing abortions over the prescription of birth control - as was the case in Romania throughout the 1990s.;['0', '1', '1', '0', '0']
71;1.0;con;"The possibility of doctors being corrupt and state not having strong family planning services support are not variables that should come into play when deciding general legality of abortion. They circumvent the fundamental ""right to abortion"" issue by blaming external factors.";['1', '1', '1', '0', '1']
72;1.0;con;Access to contraception will not help when many religious and cultural circles demand abstinence. Young women may have access to contraception but choose not to carry or use it because they are at a higher risk of being caught and punished for being sexually active.;['1', '0', '2', '0', '3']
73;1.0;con;A lot of those circles also ban abortion, so the justification of abortion by citing these situations is a fallacy. They already stigmatise abortion and demand carrying to full term, so they are an irrelevant factor in the discussion.;['0', '0', '1', '0', '0']
74;1.0;con;Abortion would not disappear no matter how accessible birth control and adoption becomes.;['0', '0', '2', '0', '2']
75;1.0;pro;Sweden's abortion statistics show that abortions will still happen, even in spite of the fact that many parts of the country provide heavily subsidised birth control for women up to their mid-twenties, free condoms at clinics, and free abortions up to 25-26.;['0', '0', '1', '1', '0']
76;1.0;con;Abortion worsens gender inequality.;['10', '5', '2', '1', '5']
77;1.0;pro;In many countries, girls are more likely to be aborted, resulting in a disproportionate male-to-female ratio.;['0', '1', '1', '1', '3']
78;1.0;pro;In India, approximately 10 million girls were aborted between 1991 and 2011, which has led to there being 914 girls to every 1000 boys by 2011.;['1', '1', '2', '0', '1']
79;1.0;pro;A study found that some Indian-born immigrants in Canada are electively aborting female fetuses if they have already had two daughters.;['1', '2', '1', '1', '1']
80;1.0;con;The incidence of this is low, and the practice is likely to go away on its own as immigrants become settled.;['0', '1', '1', '1', '0']
81;1.0;pro;A study found that in Indian families where the firstborn was a girl, the second child was unnaturally likely to be a boy, whereas if the firstborn was a boy, sex ratios among subsequent children were normal.;['0', '2', '2', '0', '3']
82;1.0;pro;The study also found that second boys were not aborted, only second girls.;['0', '0', '1', '0', '0']
83;1.0;con;This says more about gender equality than about the right of abortion. If there is a preferred gender, then that is the issue, not the abortion.;['0', '0', '0', '1', '0']
84;1.0;pro;When women are more likely to be aborted, this normalizes a narrative that women's lives are less important.;['0', '1', '2', '0', '1']
85;1.0;pro;In China, sons are often seen as more desirable. This is particularly the case in rural areas where sons are valued because of their ability to perform manual and agricultural work.;['0', '1', '1', '0', '0']
86;1.0;con;These narratives are being challenged and measures are being taken to prevent sex-selective abortions.;['0', '0', '1', '0', '0']
87;1.0;con;This argument is easily separated from the larger argument by making it illegal to determine the sex of the fetus in these countries as is the case in countries like India already.;['1', '1', '1', '2', '1']
88;1.0;con;This approach undermines the freedom of couples to properly plan for their baby. There are legitimate medical and social reasons to find out the baby's sex ahead of time (e.g. preparing older siblings, intersex children, pure curiosity) that do not involve sex-based abortion. This unfairly limits all couple's options to prevent some couples from discriminatory abortions.;['0', '1', '1', '1', '1']
89;1.0;pro;Considering this topic regards whether the woman has the right to choose to terminate life, and not whether the father has any say, then support of the woman's right alone to choose is not a step for gender equality, but rather increases gender inequality.;['0', '1', '2', '0', '1']
90;1.0;pro;Abortion is an instrument of the patriarchy. It's a way men can use women as objects of sexual pleasure and escape the responsibilities of fatherhood. Sometimes women may decide to get an abortion because of pressure or threats from the father.;['0', '0', '2', '0', '0']
91;1.0;pro;A survey of 1000 women found 74% felt pressured by others while 30% chose abortion because they feared losing their man.;['0', '1', '2', '0', '2']
92;1.0;con;A survey of 1209 abortion patients found that fewer than 1% had abortions primarily because someone else insisted. Thus, in the majority of cases women would have their choice taken away by abortion being illegal, not legal.;['0', '0', '1', '1', '2']
93;1.0;con;Late undesired pregnancy impedes the woman of performing her professional activities for a considerable period of time, thus, making her dependent on her partner, institutions and her family.;['1', '1', '0', '2', '1']
94;1.2;pro;There are many reasons a woman may not be equipped to or want to raise a child. In these cases, it is important that she is able to choose abortion.;['24', '11', '10', '22', '39']
95;1.0;pro;Bringing a child into the world has consequences not only restricted to the moment of birth but for the rest of the mother's life and for all the people around them.;['5', '2', '7', '4', '6']
96;1.0;pro;6 out of 10 people who get abortions already have children, and many feel they need to dedicate their time and resources to the children they already have, rather than having another.;['1', '0', '2', '0', '1']
97;1.0;pro;A study by University of California shows that existing children of women denied an abortion have 4 percentage point lower scores across all six domains of child development.;['0', '0', '0', '0', '0']
98;1.0;con;Abortion can have a negative effect on living children.;['0', '2', '0', '0', '1']
99;1.0;pro;Post-abortal women report that their ability to respond to the remaining or future child(ren) can be manifested in several ways: a feeling of emotional numbness which leads to a lack of bonding, acting out of hostility and anger which can result in child abuse, and considering future children as “replacement children” who become overindulged (p. 11).;['0', '2', '0', '0', '1']
100;1.0;pro;After abortion, “replacement” children may find themselves the object of obsessive parenting styles of post-abortal parents who focus inordinate time, affection, or material goods on them. Parents may attempt to replace the lost child with a “wanted” child soon after the abortion. This can be detrimental to a child's development and behavior (p. 13).;['0', '0', '1', '0', '1']
101;1.0;pro;Parenthood can have a negative impact on a marriage. The relationship between spouses may suffer once children come along.;['0', '1', '1', '0', '1']
102;1.0;pro;Parenthood hastens marital decline - even among relatively satisfied couples who select themselves into this transition. The rate of the decline in relationship satisfaction is nearly twice as steep for couples who have children than for childless couples.;['0', '1', '1', '0', '0']
103;1.0;pro;In the event that a pregnancy is unplanned, the parents experience even greater negative impacts on their relationship, including increase in relationship conflict and a decrease in love.;['1', '1', '1', '0', '0']
104;1.0;con;Abortion can also have a negative impact on marriage and relationship.;['1', '0', '2', '0', '1']
105;1.0;pro;Associations between abortion and relationship conflict are logical since anger is a common post-abortion emotional response.;['0', '0', '0', '0', '1']
106;1.0;pro;There is an increased risk for separation or divorce following an abortion (p. 2).;['1', '1', '1', '0', '1']
107;1.0;pro;A study by Rue and colleagues reported that out of 331 Russian and 217 American women, 6.8% of Russian women and 26.7% of American women indicated relationship problems caused by an abortion experience. 7.8% of Russian women and 19.8% of American women indicated that their relationships had ended as a direct consequence of the abortion.;['0', '0', '2', '0', '1']
108;1.0;con;If the pregnant individual obtains an abortion, the other party likely either agreed to it, in which case they affirmatively assented to the risk of negative impact, or the relationship was already on rocky foundations such that obtaining the abortion could not have significant causal effect on its health.;['0', '0', '1', '0', '0']
109;1.0;pro;If the pregnant individual did not seek the consent of the other person, they probably have a reason for doing so that suggests the relationship's foundations are not solid.;['0', '0', '1', '0', '0']
110;1.0;pro;Pregnancy and motherhood have a substantial impact on a woman’s career.;['1', '1', '0', '1', '0']
111;1.0;pro;A study at Cornell University shows that being a mother is proven to be a clear disadvantage when applying for jobs.;['1', '0', '2', '0', '0']
112;1.0;pro;When a similar experiment was reproduced in laboratory settings, mothers were offered salaries of around $11,000 less than women without children. Fathers were offered salaries of around $2,000 more. (p. 1316);['1', '0', '2', '1', '0']
113;1.0;pro;"Once women return to work after giving birth, many women face a ""motherhood wage penalty,” especially at the bottom of the income spectrum. This means that working mothers encounter systematic disadvantages in pay, perceived competence, and benefits relative to childless women.";['1', '0', '2', '0', '2']
114;1.0;pro;"The work-effort theory suggests mothers may earn less because they are less productive at work due to the needs of their children leaving them exhausted and distracted, or because they are saving their energy for their ""second shift"".";['1', '0', '2', '0', '1']
115;1.0;pro;Mothers may trade higher wages for “mother-friendly” jobs that are easier to combine with parenting (p. 204).;['0', '0', '2', '0', '1']
116;1.0;pro;Motherhood has a greater impact on a woman’s career prospects than her level of education, according to a study by the Young Women’s Trust. Women with a dependent child are six times more likely to be economically inactive than those without children (p. 4).;['1', '0', '1', '1', '2']
117;1.0;con;This is mainly due to patriarchal oppression, not the demands of motherhood. It is possible to employ and educate mothers while giving them ample maternity leave, equal pay, and quality healthcare.;['1', '1', '2', '0', '1']
118;1.0;con;A woman who gets pregnant, gives birth, and finds someone to adopt the child does not end up with a dependent child. However, having to raise a dependent child is what caused negative career outcomes for the women, not pregnancy by itself.;['0', '0', '1', '0', '0']
119;1.0;con;In most Western countries, there are legal measures that allow women to retain their employment status and forbid discrimination based on having children.;['2', '0', '1', '2', '2']
120;1.0;con;Taking maternity leave inherently stalls one's career, even if there is not explicit discrimination.;['0', '0', '1', '0', '0']
121;1.0;pro;Many households experience a significant decline in economic well-being in the time around a birth. They face increased demands on resources, changes in the composition of income, and a potentially heightened risk of economic insecurity.;['1', '1', '1', '0', '1']
122;1.0;pro;The drop in parents’ income around childbirth can have major consequences for children as well. Inadequate family income is harmful for children—particularly young children—affecting their long-term social-emotional, cognitive, and academic outcomes (p. 15).;['1', '0', '1', '1', '1']
123;1.0;con;Pregnancy and the growth in household size may trigger an increase in public program eligibility and benefit levels among economically disadvantaged households.;['2', '0', '1', '1', '1']
124;1.0;pro;Pregnancy and the growth in household size may trigger an increase in public program eligibility and benefit levels among economically disadvantaged households.;['2', '0', '1', '1', '1']
125;1.0;pro;The Special Supplemental Nutritional Program for Women, Infants and Children (WIC) is a federal assistance program that provides near-cash nutritional assistance targeted at this time period. It targets low-income pregnant women, breastfeeding women, and children under the age of five.;['1', '1', '1', '0', '1']
126;1.0;con;Even in most of the developed countries, the social assistance that new mothers are entitled to is rarely sufficient on its own, especially if the mother was forced to give up her job to care for the child.;['1', '1', '1', '0', '1']
127;1.0;pro;In the UK, a single parent with two children could expect £292 a month. The person must have no income or low income, work less than 16 hours a week, and have savings of under £16,000.;['1', '0', '2', '0', '0']
128;1.0;pro;A single person with one child in Ontario, Canada would receive a benefit of just less than $1,000 Canadian dollars a month, with no lifetime limit.;['0', '0', '0', '0', '0']
129;1.0;pro;The amount an average single parent with two children receives in the US is set by each state, with a 60 month lifetime limit. In Mississippi, they would receive $153 a month. In Alaska, the average benefit was $642 a month.;['1', '1', '1', '0', '0']
130;1.0;pro;In France a single parent with two children would be eligible for as much as €1,068.61 each month, but that benefit would be lessened by any actual income or other cash benefits the person was claiming.;['1', '1', '1', '0', '0']
131;1.0;con;A child also can have a negative impact on a mothers life, but this doesn't mean that is a legitimate reason to kill the child.;['1', '1', '1', '0', '2']
132;1.0;con;It can not be said that ending the life of a living child, is equivalent to ending the life of an unborn child. The living child and the unborn child have very different sets of capacities (self awareness, ability and conceptualize pain, ability to form social ties etc.).;['1', '0', '2', '0', '1']
133;1.0;pro;Pregnancy and parenthood are very expensive and time consuming. Many women who get abortions are already mothers, and they want to provide the best care they can to their existing children, financially, emotionally, and physically. This should be their choice.;['0', '2', '4', '2', '10']
134;1.0;pro;A study by University of California shows that existing children of women denied an abortion have 4 percentage point lower scores across all six domains of child development.;['1', '0', '2', '0', '0']
135;1.0;con;Abortion can have a negative effect on living children.;['0', '2', '0', '0', '1']
136;1.0;pro;Post-abortal women report that their ability to respond to the remaining or future child(ren) can be manifested in several ways: a feeling of emotional numbness which leads to a lack of bonding, acting out of hostility and anger which can result in child abuse, and considering future children as “replacement children” who become overindulged (p. 11).;['0', '2', '0', '0', '1']
137;1.0;pro;After abortion, “replacement” children may find themselves the object of obsessive parenting styles of post-abortal parents who focus inordinate time, affection, or material goods on them. Parents may attempt to replace the lost child with a “wanted” child soon after the abortion. This can be detrimental to a child's development and behavior (p. 13).;['0', '1', '1', '0', '1']
138;1.0;con;A vasectomy or tubal ligation would be adequate and less harmful in this scenario.;['0', '1', '1', '1', '1']
139;1.0;con;Some hospitals do not perform vasectomies or tubal ligations on religious grounds. (e.g. Many Catholic hospitals in Canada and the United States have not performed these services in the recent past, see links.) Therefore, this point only applies if these services are readily available and not themselves disallowed.;['0', '0', '2', '0', '2']
140;1.0;con;If the fetus is already a child, then it follows from your argument that one should be able to terminate one's offspring to better provide for the rest. This is immoral, and therefore, abortion for the reasons you presented is immoral.;['0', '0', '2', '0', '1']
141;1.0;pro;Many women may want to commit to work and education, without having to worry about getting derailed in life due to an unplanned pregnancy.;['2', '1', '4', '1', '1']
142;1.0;pro;Between 1970 and 1990 The Pill accounted for nearly three quarters of the increase in the number of women who became doctors and lawyers. The right to abortion contributed significantly to the same phenomenon.;['2', '1', '0', '1', '2']
143;1.0;con;The contraceptive pill is not the same as abortion. Any attempt to equate them is misleading and incorrect.;['0', '1', '2', '1', '0']
144;1.0;pro;Improved levels of education, increased demand for lawyers and doctors, changes in traditional beliefs that women should work, and TV shows depicting women doing more than just minding kids likely all contributed to an increase in women professionals too.;['0', '0', '1', '1', '0']
145;1.0;con;In the 1960s - when The Pill was introduced in the US - employers could (without penalty) fire a woman who got pregnant.;['0', '0', '2', '0', '1']
146;1.0;con;The Pill and abortions are not equal, but in effect they complement each other - they give women the power to determine their readiness for reproduction.;['0', '0', '1', '1', '1']
147;1.0;con;With The Pill, large numbers of college women could embark on careers that involved long-term, up-front time commitments in education and training as physicians, lawyers, veterinarians, managers, and academics, among others. A pregnancy could derail a career, but The Pill enabled women to stay on track.;['0', '0', '0', '0', '0']
148;1.0;pro;Pregnancy and motherhood have a substantial impact on a woman’s career.;['1', '1', '1', '0', '2']
149;1.0;pro;A study at Cornell University shows that being a mother is proven to be a clear disadvantage when applying for jobs.;['1', '0', '2', '0', '0']
150;1.0;pro;When a similar experiment was reproduced in laboratory settings, mothers were offered salaries of around $11,000 less than women without children. Fathers were offered salaries of around $2,000 more. (p. 1316);['1', '0', '2', '1', '0']
151;1.0;pro;Motherhood has a greater impact on a woman’s career prospects than her level of education, according to a study by the Young Women’s Trust. Women with a dependent child are six times more likely to be economically inactive than those without children (p. 4).;['1', '0', '1', '1', '2']
152;1.0;con;This is mainly due to patriarchal oppression, not the demands of motherhood. It is possible to employ and educate mothers while giving them ample maternity leave, equal pay, and quality healthcare.;['1', '1', '2', '0', '1']
153;1.0;pro;"Once women return to work after giving birth, many women face a ""motherhood wage penalty,” especially at the bottom of the income spectrum. This means that working mothers encounter systematic disadvantages in pay, perceived competence, and benefits relative to childless women.";['1', '0', '2', '0', '2']
154;1.0;pro;Mothers may trade higher wages for “mother-friendly” jobs that are easier to combine with parenting (p. 204).;['0', '0', '2', '0', '1']
155;1.0;pro;"The work-effort theory suggests mothers may earn less because they are less productive at work due to the needs of their children leaving them exhausted and distracted, or because they are saving their energy for their ""second shift"".";['1', '0', '2', '0', '1']
156;1.0;con;A woman who gets pregnant, gives birth, and finds someone to adopt the child does not end up with a dependent child. However, having to raise a dependent child is what caused negative career outcomes for the women, not pregnancy by itself.;['0', '0', '1', '0', '0']
157;1.0;con;In most Western countries, there are legal measures that allow women to retain their employment status and forbid discrimination based on having children.;['2', '0', '1', '2', '2']
158;1.0;con;Taking maternity leave inherently stalls one's career, even if there is not explicit discrimination.;['0', '0', '1', '0', '0']
159;1.0;con;Those women can avoid unplanned pregnancies through abstinence or use of contraception.;['0', '0', '1', '0', '0']
160;1.0;con;No form of contraception is 100% effective.;['0', '0', '1', '0', '0']
161;1.0;pro;Even used perfectly, condoms are only effective 98% of the time.;['0', '0', '1', '1', '2']
162;1.0;pro;Planned Parenthood states that the pill is only about 91% effective because it is difficult to maintain perfect use.;['0', '1', '1', '0', '1']
163;1.0;con;If the pill is used perfectly, it is 99% effective.;['0', '1', '2', '0', '0']
164;1.0;con;Sterilization procedures (hysterectomy, vasectomies) are almost 100% effective.;['2', '1', '2', '1', '0']
165;1.0;pro;Male vasectomies are both reversible and do not stop your body from producing sperm. It is one of the most highly-effective birth control measures while still maintaining the possibility of having children in the future.;['0', '1', '1', '1', '0']
166;1.0;con;There is a small risk that female sterilisation will not work - blocked tubes can rejoin any time after the operation.;['0', '1', '1', '0', '1']
167;1.0;pro;On average, one woman in 200 will become pregnant after undergoing a female sterilisation procedure.;['0', '0', '2', '0', '0']
168;1.0;con;Although it is rare, vasectomy failure is still a possibility. In the first year after vasectomy, 15 to 20 of every 10,000 couples experience a pregnancy.;['0', '0', '2', '0', '1']
169;1.0;con;Sterilisation is a near-permanent procedure - it is not a suitable contraceptive option for people who want to have children in the future.;['0', '1', '1', '0', '2']
170;1.0;con;Contraceptives advertise that they are not 100% effective. Even though these devices or drugs decrease the likelihood of pregnancy they don't negate the responsibility for the risk of the action chosen.;['0', '0', '1', '1', '0']
171;1.0;con;Abstinence is always effective.;['3', '2', '2', '0', '2']
172;1.0;con;It is unreasonable to expect people to remain abstinent forever. There are people who may want to have sex lives but do not ever want to have children. For them there is no fail proof form of contraception.;['1', '1', '0', '1', '2']
173;1.0;pro;"Humans are designed to find pleasure in sexual relations. Sex is more than just for reproduction; it is also a bonding mechanism between life-long partners. Therefore an abstinence only method is an unreasonable burden for a person to bear.";['1', '0', '0', '2', '1']
174;1.0;con;The primary role of sexual relations is reproduction. This is true in all species that reproduce by mating. The pleasure and bonding effect of a sexual relation is subservient to its purpose as a reproduction mechanism.;['1', '1', '1', '1', '2']
175;1.0;con;People have sex for pleasure and bonding effects more often than for reproduction across all ages.;['1', '1', '1', '0', '2']
176;1.0;con;"Abstinence is only 100% effective if used perfectly. The ""typical use"" effectiveness of abstinence as a contraceptive is not 100%.";['1', '1', '1', '0', '2']
177;1.0;con;An abstinent woman can still be raped and become pregnant.;['1', '1', '1', '0', '3']
178;1.0;pro;A woman may not feel emotionally, mentally or otherwise prepared to have a child, and ultimately this could be damaging for the child and for the relationship between the mother and child.;['3', '2', '6', '4', '10']
179;1.0;pro;Some women may not have the financial resources to go through a pregnancy and then support a child sufficiently.;['1', '1', '1', '0', '0']
180;1.0;pro;Men are equally responsible for pregnancy but are often unwilling to fulfil their paternal role. When this occurs, an unplanned pregnancy can lead to socio-economic hardship for mother and child.;['1', '0', '2', '1', '1']
181;1.0;pro;Women who are denied abortions and instead give birth are 3.77 times more likely to be in poverty and 6.26 times more likely to be on public assistance 6 months after denial than women who received abortions. They are also more likely to be in poverty and remain on public assistance for 4 years after denial of abortion (pp. 411-412).;['0', '0', '1', '1', '2']
