;Level;Stance;Claim;Votes
26;1.0;pro;Fathers have to help fund and support the child until they are no longer a dependent, usually 18 years, which would add to the emotional burden on the father and the father's family.;['0', '0', '1', '1', '0']
27;1.0;con;Only 50% of single parents have a child support agreement in place with the other parent of their child in the US, which shows that it is difficult to enforce financial responsibility.;['0', '0', '1', '1', '0']
28;1.0;pro;Society is better off if women only have the children they want and can raise well.;['2', '2', '1', '5', '4']
29;1.0;pro;"Denying women the right to terminate pregnancies at an early stage implies that giving birth to children is the most important thing a woman will ever do; that her ability to give birth trumps any other contribution to society she could possibly make.";['1', '0', '2', '0', '1']
30;1.0;pro;Denying women access to safe, legal abortion in the interests of the embryo values the woman’s actual life less than the potential life of the embryo.;['1', '0', '1', '0', '4']
31;1.0;con;Many women who have made great contributions to society have done so as mothers.;['2', '1', '3', '0', '1']
32;1.0;con;Denial of the right to terminate a pregnancy says nothing about the relative importance of giving birth.;['0', '0', '0', '0', '2']
33;1.0;pro;Abortion can help prevent the numerous financial issues that come from having an unplanned pregnancy.;['1', '1', '1', '0', '1']
34;1.0;pro;Even if women are out of high school, unwanted pregnancy can force them to leave their jobs, furthering inequality in the workforce.;['1', '0', '1', '1', '1']
35;1.0;pro;Women often have to sacrifice their careers for childbearing and child-rearing which is not the case with men.;['0', '0', '2', '0', '0']
36;1.0;pro;Studies suggest that among men with equivalent resumes, fathers are more likely to receive call-backs and higher wage offers than are childless men.;['1', '0', '1', '1', '2']
37;1.0;pro;Pregnancy and motherhood have a substantial impact on a woman’s career.;['1', '0', '0', '2', '3']
38;1.0;pro;A study at Cornell University shows that being a mother is proven to be a clear disadvantage when applying for jobs.;['1', '0', '2', '0', '0']
39;1.0;pro;When a similar experiment was reproduced in laboratory settings, mothers were offered salaries of around $11,000 less than women without children. Fathers were offered salaries of around $2,000 more. (p. 1316);['1', '0', '2', '1', '0']
40;1.0;pro;Motherhood has a greater impact on a woman’s career prospects than her level of education, according to a study by the Young Women’s Trust. Women with a dependent child are six times more likely to be economically inactive than those without children (p. 4).;['1', '0', '1', '1', '2']
41;1.0;con;This is mainly due to patriarchal oppression, not the demands of motherhood. It is possible to employ and educate mothers while giving them ample maternity leave, equal pay, and quality healthcare.;['1', '1', '2', '0', '1']
42;1.0;pro;"Once women return to work after giving birth, many women face a ""motherhood wage penalty,” especially at the bottom of the income spectrum. This means that working mothers encounter systematic disadvantages in pay, perceived competence, and benefits relative to childless women.";['1', '0', '2', '0', '2']
43;1.0;pro;"The work-effort theory suggests mothers may earn less because they are less productive at work due to the needs of their children leaving them exhausted and distracted, or because they are saving their energy for their ""second shift"".";['1', '0', '2', '0', '1']
44;1.0;pro;Mothers may trade higher wages for “mother-friendly” jobs that are easier to combine with parenting (p. 204).;['0', '0', '2', '0', '1']
45;1.0;con;In most Western countries, there are legal measures that allow women to retain their employment status and forbid discrimination based on having children.;['2', '0', '1', '2', '2']
46;1.0;con;Taking maternity leave inherently stalls one's career, even if there is not explicit discrimination.;['0', '0', '1', '0', '0']
47;1.0;con;A woman who gets pregnant, gives birth, and finds someone to adopt the child does not end up with a dependent child. However, having to raise a dependent child is what caused negative career outcomes for the women, not pregnancy by itself.;['0', '0', '1', '0', '0']
48;1.0;con;It is false to suggest that future educational and career goals must be abandoned when one becomes pregnant. With the choice of adoption and the many support programs which exist today, young women or teens can postpone their educational plans but still achieve them.;['0', '1', '2', '0', '1']
49;1.0;con;This is a problem with culture and employment, not childbearing.;['3', '1', '1', '0', '1']
50;1.0;con;Preference for equality in the workforce is not a satisfactory reason for abortion.  Many childless women are treated unequally in the workforce as it is.  We can strive for equality whilst also supporting childbearing.;['1', '1', '2', '1', '1']
51;1.0;con;One of the reasons for unequal treatment of women in the workforce is the assumption that they will get pregnant and leave their job any time. If women are denied the option to terminate unwanted pregnancies, this further fuels such assumptions and encourages discrimination in the workplace.;['1', '1', '1', '0', '1']
52;1.0;pro;The option to have an abortion gives women more autonomy over their careers, as it allows them to plan ahead and discuss maternity leave with their employers before actually needing it.;['1', '0', '2', '0', '1']
53;1.0;con;Giving women the right to have an abortion if they want to does not oppose or contradict support for childbearing. Allowing women a choice does not make anything compulsory.;['1', '1', '1', '0', '1']
54;1.0;pro;When women cannot afford to raise their children they are forced to go on welfare, which is a cost to everyone.;['1', '0', '1', '1', '1']
55;1.0;pro;Women who are denied abortions and instead give birth are 3.77 times more likely to be in poverty and 6.26 times more likely to be on public assistance 6 months after denial than women who received abortions. They are also more likely to be in poverty and remain on public assistance for 4 years after denial of abortion (pp. 411-412).;['1', '0', '2', '0', '1']
56;1.0;con;Society is best when we look out for others. Supporting people who need it through welfare is not necessarily a bad thing.;['1', '1', '1', '0', '2']
57;1.0;con;A case could be made that it would be better to have our tax dollars contributed to welfare, than have that same money be contributed to abortion.;['1', '2', '0', '0', '1']
58;1.0;pro;Many women who become pregnant are still in high school and are forced to drop out.;['1', '0', '2', '1', '0']
59;1.0;con;Governments should provide support to families to ensure that abortion is not the only option and that these financial issues are not significant.;['0', '0', '1', '0', '0']
60;1.0;pro;There is evidence to suggest that the Roe v. Wade decision to legalize abortion in 1978 was responsible for the dramatic decrease in violent crime the United States experienced through at least 1999 (p. 414).;['1', '1', '0', '1', '1']
61;1.0;pro;There is evidence from Canada, Australia, and Romania that also supports the hypothesis that abortion reduces crime.;['1', '0', '1', '1', '3']
62;1.0;pro;Five US states legalised abortion three years before Roe v. Wade. Crime started falling three years earlier in these states, with property crime (committed by younger people) falling before violent crime.;['1', '2', '1', '1', '2']
63;1.0;con;The ends do not justify the means. Using an immoral act (abortion) to justify a good (improved crime rates) is unethical.;['1', '1', '0', '1', '0']
64;1.0;con;Individuals contribute to society in numerous different ways, and even children that are not wanted or raised well may make valuable contributions that mean society is better off.;['0', '0', '1', '0', '1']
65;1.0;con;It is possible to provide more education and access to resources and contraception to reduce the number of unwanted pregnancies without relying on abortion.;['0', '0', '1', '0', '0']
66;1.0;con;Even if society is better in some ways if women only have the children they want, this is not enough to justify killing the children. Otherwise, women would be permitted kill toddlers they are currently raising but don't want.;['0', '0', '0', '0', '0']
67;1.0;con;Better access to contraception and improved sexual education would reduce the risk of unplanned pregnancies.;['1', '1', '2', '3', '2']
68;1.0;pro;Abortion is a band-aid solution to systemic issues in society. While it may need to remain legal, it does nothing to address the reasons behind unwanted pregnancy.;['2', '1', '1', '0', '2']
69;1.0;con;Access to contraception will not help when many religious and cultural circles demand abstinence. Young women may have access to contraception but choose not to carry or use it because they are at a higher risk of being caught and punished for being sexually active.;['1', '0', '2', '0', '3']
70;1.0;con;A lot of those circles also ban abortion, so the justification of abortion by citing these situations is a fallacy. They already stigmatise abortion and demand carrying to full term, so they are an irrelevant factor in the discussion.;['0', '0', '1', '0', '0']
71;1.0;con;Abortion would not disappear no matter how accessible birth control and adoption becomes.;['0', '0', '2', '0', '2']
72;1.0;pro;Sweden's abortion statistics show that abortions will still happen, even in spite of the fact that many parts of the country provide heavily subsidised birth control for women up to their mid-twenties, free condoms at clinics, and free abortions up to 25-26.;['0', '0', '0', '0', '0']
73;1.0;con;The issue is that these resources are not properly allocated or presented to the populace. Women should not be made to suffer because of a failure of government.;['1', '1', '0', '1', '2']
74;1.0;pro;In many countries without strong state support for family planning services, doctors might be more inclined towards the lucrative work of performing abortions over the prescription of birth control - as was the case in Romania throughout the 1990s.;['1', '1', '1', '0', '0']
75;1.0;con;"The possibility of doctors being corrupt and state not having strong family planning services support are not variables that should come into play when deciding general legality of abortion. They circumvent the fundamental ""right to abortion"" issue by blaming external factors.";['1', '1', '1', '0', '1']
76;1.0;con;Abortion worsens gender inequality.;['10', '5', '2', '1', '5']
77;1.0;pro;Abortion is an instrument of the patriarchy. It's a way men can use women as objects of sexual pleasure and escape the responsibilities of fatherhood. Sometimes women may decide to get an abortion because of pressure or threats from the father.;['0', '0', '2', '0', '0']
78;1.0;pro;A survey of 1000 women found 74% felt pressured by others while 30% chose abortion because they feared losing their man.;['0', '1', '2', '0', '2']
79;1.0;con;A survey of 1209 abortion patients found that fewer than 1% had abortions primarily because someone else insisted. Thus, in the majority of cases women would have their choice taken away by abortion being illegal, not legal.;['1', '0', '1', '1', '2']
80;1.0;pro;Considering this topic regards whether the woman has the right to choose to terminate life, and not whether the father has any say, then support of the woman's right alone to choose is not a step for gender equality, but rather increases gender inequality.;['1', '1', '2', '0', '1']
81;1.0;pro;In many countries, girls are more likely to be aborted, resulting in a disproportionate male-to-female ratio.;['0', '1', '1', '1', '3']
82;1.0;pro;In India, approximately 10 million girls were aborted between 1991 and 2011, which has led to there being 914 girls to every 1000 boys by 2011.;['0', '1', '2', '0', '1']
83;1.0;pro;A study found that some Indian-born immigrants in Canada are electively aborting female fetuses if they have already had two daughters.;['1', '2', '1', '1', '1']
84;1.0;con;The incidence of this is low, and the practice is likely to go away on its own as immigrants become settled.;['1', '1', '1', '1', '0']
85;1.0;pro;A study found that in Indian families where the firstborn was a girl, the second child was unnaturally likely to be a boy, whereas if the firstborn was a boy, sex ratios among subsequent children were normal.;['0', '2', '2', '0', '3']
86;1.0;pro;The study also found that second boys were not aborted, only second girls.;['0', '0', '1', '0', '0']
87;1.0;con;This says more about gender equality than about the right of abortion. If there is a preferred gender, then that is the issue, not the abortion.;['0', '0', '0', '1', '0']
88;1.0;pro;When women are more likely to be aborted, this normalizes a narrative that women's lives are less important.;['0', '1', '2', '0', '1']
89;1.0;pro;In China, sons are often seen as more desirable. This is particularly the case in rural areas where sons are valued because of their ability to perform manual and agricultural work.;['0', '1', '1', '0', '0']
90;1.0;con;These narratives are being challenged and measures are being taken to prevent sex-selective abortions.;['0', '0', '1', '0', '0']
91;1.0;con;This argument is easily separated from the larger argument by making it illegal to determine the sex of the fetus in these countries as is the case in countries like India already.;['1', '1', '1', '2', '1']
92;1.0;con;This approach undermines the freedom of couples to properly plan for their baby. There are legitimate medical and social reasons to find out the baby's sex ahead of time (e.g. preparing older siblings, intersex children, pure curiosity) that do not involve sex-based abortion. This unfairly limits all couple's options to prevent some couples from discriminatory abortions.;['0', '1', '1', '1', '1']
93;1.0;con;Late undesired pregnancy impedes the woman of performing her professional activities for a considerable period of time, thus, making her dependent on her partner, institutions and her family.;['1', '1', '0', '2', '1']
94;1.2;pro;There are many reasons a woman may not be equipped to or want to raise a child. In these cases, it is important that she is able to choose abortion.;['24', '11', '10', '22', '39']
95;1.0;pro;Pregnancy and parenthood are very expensive and time consuming. Many women who get abortions are already mothers, and they want to provide the best care they can to their existing children, financially, emotionally, and physically. This should be their choice.;['0', '0', '0', '2', '10']
96;1.0;pro;A study by University of California shows that existing children of women denied an abortion have 4 percentage point lower scores across all six domains of child development.;['1', '0', '2', '0', '0']
97;1.0;con;Abortion can have a negative effect on living children.;['1', '2', '0', '0', '1']
98;1.0;pro;Post-abortal women report that their ability to respond to the remaining or future child(ren) can be manifested in several ways: a feeling of emotional numbness which leads to a lack of bonding, acting out of hostility and anger which can result in child abuse, and considering future children as “replacement children” who become overindulged (p. 11).;['0', '2', '0', '0', '1']
99;1.0;pro;After abortion, “replacement” children may find themselves the object of obsessive parenting styles of post-abortal parents who focus inordinate time, affection, or material goods on them. Parents may attempt to replace the lost child with a “wanted” child soon after the abortion. This can be detrimental to a child's development and behavior (p. 13).;['0', '1', '1', '0', '1']
100;1.0;con;A vasectomy or tubal ligation would be adequate and less harmful in this scenario.;['0', '1', '1', '1', '1']
101;1.0;con;Some hospitals do not perform vasectomies or tubal ligations on religious grounds. (e.g. Many Catholic hospitals in Canada and the United States have not performed these services in the recent past, see links.) Therefore, this point only applies if these services are readily available and not themselves disallowed.;['1', '0', '2', '0', '2']
102;1.0;con;If the fetus is already a child, then it follows from your argument that one should be able to terminate one's offspring to better provide for the rest. This is immoral, and therefore, abortion for the reasons you presented is immoral.;['0', '0', '2', '0', '1']
103;1.0;pro;A woman might feel that her home does not provide a safe environment for a child.;['7', '1', '7', '2', '8']
104;1.0;pro;Many entire neighborhoods are not safe for raising a child.;['0', '0', '1', '0', '0']
105;1.0;pro;Women in physically violent and abusive relationships are likely to stay tethered to abusive partners when they are unable to terminate unwanted pregnancies. This puts both the women and their children at increased risk of violence.;['1', '0', '1', '1', '1']
106;1.0;pro;Intimate partner violence is common among women having abortions, with between 6% and 22% reporting recent violence from an intimate partner. Concern about violence is a reason some pregnant women decide to terminate their pregnancies as they do not wish to expose children to violence.;['1', '0', '2', '0', '0']
107;1.0;con;Governments have processes to remove children from these types of situations. This service alongside adoption, imprisonment, and help from family members saves countless children from harm.;['0', '0', '1', '0', '1']
108;1.0;pro;For example, in the United States, there are the Child Protective Services.;['0', '0', '1', '0', '0']
109;1.0;con;It would be in the state's interest to have as few children taken away from their parents by Child Protective Services as possible. Denying these abortions would mean significant increases in public spending for various social care services.;['1', '1', '1', '0', '0']
110;1.0;pro;In the long term, this would cause more trouble than allowing a woman to have an abortion when she wants one.;['0', '0', '1', '0', '0']
111;1.0;pro;Abortion and birth control are fiscally responsible. Spending $235 million on family planning would save $1.32 billion.;['1', '0', '1', '0', '1']
112;1.0;pro;Women who are denied abortions and instead give birth are 3.77 times more likely to be in poverty and 6.26 times more likely to be on public assistance 6 months after denial than women who received abortions. They are also more likely to be in poverty and remain on public assistance for 4 years after denial of abortion (pp. 411-412).;['1', '0', '1', '1', '2']
113;1.0;con;This source speaks only of birth control and spending money on contraceptive services being fiscally responsible, not abortion.;['1', '1', '2', '0', '2']
114;1.0;con;Child protective services takes children away from parents, which does not help the women seeking a safe environment and the intervention of the Child Protection Service may make that environment even worse.;['1', '1', '1', '0', '0']
115;1.0;con;Adoption does not guarantee a safe life for children.;['1', '0', '2', '0', '0']
116;1.0;pro;State institutions are bad at properly assessing whether or not the environment of foster homes are safe.;['1', '0', '2', '1', '1']
117;1.0;pro;State institutions are bad at properly assessing whether or not the environment of foster homes are safe.;['1', '0', '2', '1', '1']
118;1.0;pro;The screening process is only as good as the person who makes the assessment and the level of stress or workload they may be facing.;['1', '0', '2', '0', '3']
119;1.0;pro;In New York, the 40% turnover in caseworkers is testament to the heavy workload they face, which could reflect in the quality of their work.;['0', '0', '1', '0', '0']
120;1.0;pro;The average foster care social worker is paid $47,372 annually. This is substantially less than other working professionals such as IT Managers ($79,584) or HR managers ($73,474). These workers are then forced to make tough decisions and deal with difficult situations on a day to day basis.;['1', '0', '2', '1', '0']
121;1.0;pro;Private foster care agencies have allowed criminals and registered sex offenders to acquire licenses and adopt foster children. This has led to neglect, sexual abuse and murders of children.;['0', '1', '1', '0', '0']
122;1.0;pro;A caseworker in one such agency reported that three girls were happy and healthy in their foster home when in fact they had been dead for three months. This is indicative of the sheer ineptitude of many foster care agencies.;['1', '0', '2', '0', '2']
123;1.0;pro;Many LGBTQ children in foster homes suffer abuse. As a result, in the US, 56% spent some time homeless because they believed they were safer on the streets than they were in their foster homes (p. 5).;['1', '0', '2', '0', '2']
124;1.0;con;In the UK, there is legislation underpinning the work of fostering agencies, requiring them to ensure children are safeguarded and protected from significant harm (p. 14).;['0', '0', '1', '0', '0']
125;1.0;con;Policies are generally in place to ensure foster homes are safe, including annual reviews.;['0', '0', '1', '0', '0']
126;1.0;con;Most children would probably prefer adoption to abortion if given a choice, even if adoption and foster care are not perfect.;['1', '1', '1', '0', '1']
127;1.0;pro;It remains the fact that many of adoptees appreciate the fact that they are alive. 7.6 percent of adoptees trying to commit suicide, as stated in this study, are still a small minority.;['0', '0', '1', '1', '0']
128;1.0;pro;Even children who undergo horrific abuse still have a strong will to survive, so it is reasonable that the vast majority of children would prefer even the worst forms of adoption to abortion.;['0', '0', '1', '0', '0']
129;1.0;con;"Some children do overcome the hardships of being unwanted and/or abused, some don't. Suicide rates among youths in foster care are among the highest in the United States. To claim the ""vast majority"" of children would prefer pain, lack of love, disconnectedness and dim future prospects over having not been born at all is supported by unfounded hope alone.";['0', '0', '1', '0', '0']
130;1.0;con;It is not possible to infer the preferences of an entity that lacks that the mental architecture to carry a preference.;['1', '0', '3', '0', '2']
131;1.0;pro;The woman and her doctor are in the best position to make such a consequential decision.;['0', '0', '1', '0', '0']
132;1.0;con;It is reasonable to assume that a late-stage fetus (e.g. 8 months) is no less capable of having a preference than a newborn.;['1', '2', '0', '0', '1']
133;1.0;pro;This is likely true. A newborn baby has no capability of weighing the benefits and detriments of life or no life. It's a philosophical conundrum even deep-thinking philosophers struggle with.;['0', '0', '1', '0', '0']
134;1.0;con;There are numerous physiological changes that occur at birth, including shifting the blood flow to pass through the lungs. Previous to birth, a fully conscious individual would suffer from sensory deprivation. Therefore it is probable that some physiological change occurs that ignites consciousness.;['0', '0', '1', '0', '0']
135;1.0;con;Some people are now attempting to sue their parents for recklessly bringing them into the world, as the parents knew of defects and circumstances that handicapped them.;['0', '0', '1', '0', '0']
136;1.0;pro;This area of law is as yet undeveloped but test cases are forming. This shows that some people don't appreciate having been allowed to be born into adverse conditions.;['0', '0', '1', '0', '0']
137;1.0;con;These are still a small minority of people. One cannot assume their child will become one of them.;['0', '0', '1', '1', '1']
138;1.0;con;Birth doesn't guarantee a safe life for children. Expecting parents who want a child can't even guarantee a safe life for children. Abortion, however, guarantees that the child will not have a safe life, or a life at all.;['0', '1', '1', '1', '1']
139;1.0;con;Abortion guarantees a child will not have an unsafe or miserable life. To prevent a likely painful and difficult life can be a blessing.;['0', '0', '1', '0', '0']
140;1.0;con;The trend described in the source also appears to hold for positive, healthy relationships. The benefits caused by healthy relationships lasting longer help outweigh any negative effects from bad relationships going longer than they should.;['0', '1', '0', '0', '0']
141;1.0;con;Optimal conditions for child-rearing are relatively rare. Children raised in unsafe environments can survive and thrive despite risk factors.;['0', '0', '2', '0', '1']
142;1.0;con;Indeed, children can survive in threatening and abusive environments where their future prospects in life are dim. However, it would be irresponsible to put children through such life trauma when we can spare them of it.;['0', '0', '0', '0', '0']
143;1.0;pro;It's neglectful, indeed possibly mean-spirited, to bring an unloved child into the world only to suffer a difficult, challenging and, likely, painful life when a mother could be sympathetic to a would-be child's future brutal life and prevent it.;['0', '0', '1', '0', '0']
144;1.0;con;Life begins at conception. Abortion therefore violates the rights to life and bodily autonomy of the fetus.;['0', '0', '1', '0', '0']
145;1.0;pro;Biological facts indicate that fetuses are human.;['18', '6', '5', '6', '7']
146;1.0;pro;Human embryos autonomously direct their own development after conception, even when they are not in their mothers’ wombs.;['1', '2', '1', '0', '3']
147;1.0;con;This is not enough to define embryos as complete humans worthy of every human right.;['1', '0', '2', '0', '1']
148;1.0;pro;Human development is a continuum, except at conception and at birth, which are the only possible candidates for the beginning of personhood. Many people agree that late-term fetuses are persons, meaning that personhood must begin at conception.;['3', '2', '1', '0', '4']
149;1.0;con;There is a discontinuity. At first the fetus is unable to survive on its own outside the body of the mother. Then at some point the baby is able to survive on its own.;['2', '0', '2', '0', '1']
150;1.0;con;'At some point' is not a true discontinuity anymore than a bird flying at some point or a joey leaving the pouch at some point is. It is just a mark of growth, not a discontinuous stage like a larva or chrysalis would be.;['0', '0', '2', '0', '2']
151;1.0;con;Survival is a poor criteria to determine the beginning of a human life. Newborns cannot survive on their own either.;['1', '0', '2', '0', '2']
152;1.0;con;It is not entirely clear at what stage during the pregnancy this occurs, making it difficult to draw a line about when abortion would and would not be acceptable based on this.;['0', '0', '2', '0', '1']
153;1.0;con;There is no discontinuity in human development between adolescence and adulthood, yet we still recognize them as distinct phases of life. There's no rule saying a phase change requires discontinuity.;['2', '1', '1', '0', '1']
154;1.0;con;"It is recognized that embryo, fetus and child are distinct phases of life, exactly like adolescence and adulthood are. The point is that human life is equaly valuable in all of its phases; old age, adulthood, adolescence, childhood, newborn, fetus, embryo.";['0', '1', '1', '0', '2']
155;1.0;con;This continuity begins with sperm and egg, which would make masturbation similar to abortion.;['2', '0', '2', '1', '2']
156;1.0;con;There is no scientific basis to give personhood to the gametes of any of the two sexes. Neither of them is a totipotent cell, with the potentiality to become human beings on their own.;['0', '0', '1', '0', '0']
157;1.0;con;A sperm plus an egg would give rise to such a totipotent cell. If such a cell is of moral value, it stands to reason that what gives rise to it is also of moral value. In that case, destroying or preventing the development of a sperm plus egg would be as immoral as destroying or preventing the development of a zygote or fetus.;['0', '0', '1', '0', '0']
158;1.0;con;Masturbation generally does not include both eggs and sperms present simultaneously, and by most definitions does not include fertilization. There is a distinct beginning of continuity with fertilization.;['0', '0', '2', '0', '0']
159;1.0;pro;There is a big jump between sperm cells and a baby with formed organs inside a mothers womb not yet able to live on its own.;['0', '0', '1', '0', '0']
160;1.0;pro;Biology textbooks are consistent that the lifecycle of a genetically distinct human organism begins at conception.;['1', '3', '1', '0', '4']
161;1.0;pro;The human life cycle begins at fertilization, when an egg cell inside a woman and a sperm cell from a man fuse to form a one-celled zygote.;['1', '0', '3', '0', '2']
162;1.0;con;Before fertilization, the exact same components are present as an egg and sperm. If destroying a zygote is immoral, likewise the destruction of the egg and/or the sperm that would produce it would be immoral. But the destruction of the egg or sperm is not immoral, and so destroying a zygote wouldn't be immoral.;['0', '0', '1', '0', '0']
163;1.0;pro;Biology does not treat mother and fetus as one organism, but two separate and distinct human organisms.;['1', '0', '2', '0', '1']
164;1.0;pro;The unborn human has its DNA set from conception. While similar to the mother's and father's due to inherited chromosomes and genetic traits, the DNA is not the same as the mother's.;['1', '1', '1', '0', '1']
165;1.0;con;DNA is not set but changes over time.;['1', '1', '1', '0', '1']
166;1.0;con;Suppose the fetus was not genetically unique from its mother (something which is possible), that would have no bearing on the question as to whether abortion was moral or not. Thus, genetic uniqueness is an irrelevant criterion when deciding the morality of abortion.;['0', '0', '1', '0', '0']
167;1.0;pro;While present in the mother's body, the fertilized egg is not part of the body and never becomes part of the mother's body. It travels through the fallopian tube entirely independent of the mother's nutrients until it attaches via placenta into the womb.;['0', '0', '1', '0', '0']
168;1.0;con;"A fertilized egg becomes a fetus which is physically connected to the mother's body via the umbilical cord; it is dependent on her body for nutrients, and cannot sustain its own life, therefore it is not yet separate from her body but an extension of it.";['0', '0', '1', '0', '0']
169;1.0;con;Tonsils and tumors are genetically human, yet it is not immoral to excise and destroy them. Thus, being genetically human is not sufficient.;['0', '0', '1', '0', '1']
170;1.0;pro;Having different DNA does not mean it is a separate and valid life by any means. Bacteria and some cancers have different DNA and we commonly remove it when it is growing unwanted in the human body.;['0', '0', '1', '0', '0']
171;1.0;con;Tonsils and tumors are not an entire human organism, just a part. The argument is that it is immoral to destroy an entire human organism, which a baby is.;['0', '0', '1', '0', '0']
172;1.0;con;The majority of biology textbooks used to use creationism to describe the world's history and omitted evolution. The fact that biology textbooks are consistent in how they describe conception is not a reason we should believe in that description.;['1', '1', '4', '0', '2']
173;1.0;con;Just because biology textbooks got something wrong in the past doesn't mean that their views on embryology are wrong now.;['0', '0', '1', '0', '0']
174;1.0;pro;When a biology textbook says that DNA has a double helix structure, it would make little sense to doubt that just because other textbooks used to teach creationism.;['0', '0', '1', '0', '0']
175;1.0;con;Being a biological human being is legally and morally distinct from being a person with the rights and responsibilities ascribed to legal personhood.;['1', '1', '2', '0', '3']
176;1.0;pro;Even if a fetus is considered human, it does not have a 'right to life' as it does not qualify for the status of 'personhood.';['0', '0', '2', '0', '1']
177;1.0;pro;Fetuses are yet to become citizens of the state since they are unborn and therefore have no rights or protection under common law.;['1', '1', '4', '0', '3']
178;1.0;con;Citizenship is irrelevant to the legality and morality of the act. Non-citizens enjoy the protection of the law just as much as citizens do. It is not legal to kill a non-citizen any more than it is to kill a citizen (p. 5).;['0', '0', '1', '1', '3']
179;1.0;pro;"A human being requires a functional brain, wherein the mind resides. During pregnancy the brain doesn't even start to form until six weeks after conception when the neural tube closes, and the brain does not become functional until ""around the time a full-term baby is born"".";['1', '1', '1', '1', '3']
180;1.0;pro;This is why brain death is generally the medical definition of death.;['0', '0', '1', '0', '0']
181;1.0;con;Being a human being does not require a functional brain because anencephalic infants do not have a functional brain, but they are still human beings.;['0', '0', '1', '0', '0']
182;1.0;pro;A fetus is not self aware, conscious, or able to feel pain.;['2', '1', '2', '0', '6']
